bullet_x,bullet_y,bullet_z,package_x,package_y,package_z,time
0.000000,0.000000,1.500000,0.400000,4.379000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.410000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.444000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.477000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.508000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.539000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.577000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.607000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.638000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.669000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.699000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.731000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.762000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.793000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.823000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.854000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.884000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.915000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.946000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,4.986000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.016000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.047000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.078000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.110000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.141000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.172000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.203000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.234000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.266000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.296000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.329000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.360000,0.000000,0.000000
0.000000,0.000000,1.500000,0.400000,5.391000,0.000000,0.000000
