x,y,t
-0.012244,-0.499850,1.267000
-0.008544,-0.499927,1.269000
-0.004845,-0.499977,1.271000
0.000705,-0.499999,1.274000
0.004405,-0.499981,1.276000
0.008105,-0.499934,1.278000
0.011804,-0.499861,1.280000
0.015503,-0.499760,1.282000
0.021049,-0.499557,1.285000
0.026593,-0.499292,1.288000
0.032134,-0.498966,1.291000
0.037670,-0.498579,1.294000
0.041359,-0.498287,1.296000
0.046887,-0.497797,1.299000
0.050570,-0.497436,1.301000
0.054249,-0.497048,1.303000
0.059763,-0.496415,1.306000
0.063435,-0.495960,1.308000
0.067103,-0.495477,1.310000
0.070768,-0.494967,1.312000
0.076258,-0.494150,1.315000
0.081738,-0.493274,1.318000
0.085387,-0.492655,1.320000
0.090850,-0.491677,1.323000
0.094486,-0.490991,1.325000
0.099930,-0.489912,1.328000
0.105362,-0.488773,1.331000
0.110780,-0.487573,1.334000
0.114385,-0.486740,1.336000
0.119781,-0.485440,1.339000
0.123370,-0.484541,1.341000
0.128741,-0.483142,1.344000
0.132313,-0.482176,1.346000
0.137657,-0.480677,1.349000
0.142984,-0.479120,1.352000
0.146525,-0.478048,1.354000
0.151823,-0.476393,1.357000
0.155344,-0.475256,1.359000
0.160610,-0.473502,1.362000
0.165856,-0.471690,1.365000
0.169342,-0.470450,1.367000
0.174553,-0.468542,1.370000
0.179743,-0.466575,1.373000
0.183191,-0.465232,1.375000
0.186629,-0.463864,1.377000
0.191766,-0.461764,1.380000
0.196880,-0.459607,1.383000
0.200276,-0.458137,1.385000
0.203660,-0.456643,1.387000
0.207034,-0.455123,1.389000
0.212073,-0.452797,1.392000
0.217086,-0.450415,1.395000
0.222072,-0.447978,1.398000
0.225381,-0.446322,1.400000
0.230322,-0.443793,1.403000
0.233599,-0.442076,1.405000
0.238492,-0.439456,1.408000
0.241737,-0.437679,1.410000
0.244970,-0.435878,1.412000
0.249793,-0.433132,1.415000
0.252991,-0.431272,1.417000
0.257763,-0.428437,1.420000
0.262503,-0.425550,1.423000
0.267210,-0.422610,1.426000
0.270330,-0.420621,1.428000
0.273435,-0.418609,1.430000
0.278065,-0.415548,1.433000
0.282660,-0.412436,1.436000
0.285705,-0.410333,1.438000
0.290242,-0.407136,1.441000
0.293247,-0.404977,1.443000
0.296236,-0.402796,1.445000
0.300688,-0.399483,1.448000
0.303636,-0.397247,1.450000
0.308027,-0.393852,1.453000
0.310933,-0.391562,1.455000
0.315260,-0.388086,1.458000
0.319548,-0.384563,1.461000
0.323797,-0.380992,1.464000
0.326608,-0.378586,1.466000
0.330790,-0.374937,1.469000
0.333556,-0.372479,1.471000
0.336303,-0.370000,1.473000
0.340389,-0.366245,1.476000
0.343090,-0.363716,1.478000
0.347106,-0.359885,1.481000
0.349760,-0.357307,1.483000
0.353704,-0.353402,1.486000
0.357605,-0.349454,1.489000
0.360182,-0.346798,1.491000
0.362738,-0.344124,1.493000
0.365275,-0.341430,1.495000
0.369042,-0.337354,1.498000
0.372764,-0.333237,1.501000
0.376440,-0.329079,1.504000
0.380069,-0.324880,1.507000
0.382463,-0.322059,1.509000
0.384836,-0.319220,1.511000
0.388356,-0.314928,1.514000
0.390676,-0.312046,1.516000
0.394115,-0.307690,1.519000
0.397506,-0.303297,1.522000
0.400848,-0.298866,1.525000
0.403049,-0.295891,1.527000
0.406308,-0.291399,1.530000
0.409518,-0.286871,1.533000
0.411630,-0.283833,1.535000
0.414755,-0.279246,1.538000
0.417829,-0.274625,1.541000
0.420852,-0.269970,1.544000
0.423822,-0.265282,1.547000
0.426741,-0.260562,1.550000
0.429607,-0.255809,1.553000
0.431488,-0.252623,1.555000
0.434265,-0.247818,1.558000
0.436087,-0.244597,1.560000
0.438776,-0.239742,1.563000
0.440538,-0.236488,1.565000
0.442276,-0.233221,1.567000
0.444837,-0.228298,1.570000
0.447344,-0.223346,1.573000
0.448984,-0.220030,1.575000
0.451399,-0.215032,1.578000
0.453758,-0.210009,1.581000
0.456061,-0.204959,1.584000
0.458308,-0.199884,1.587000
0.460499,-0.194784,1.590000
0.462632,-0.189661,1.593000
0.464023,-0.186232,1.595000
0.466062,-0.181070,1.598000
0.468043,-0.175886,1.601000
0.469332,-0.172417,1.603000
0.471217,-0.167197,1.606000
0.472441,-0.163705,1.608000
0.473639,-0.160205,1.610000
0.475389,-0.154938,1.613000
0.476522,-0.151416,1.615000
0.478173,-0.146117,1.618000
0.479766,-0.140800,1.621000
0.481299,-0.135466,1.624000
0.482289,-0.131901,1.626000
0.483251,-0.128328,1.628000
0.484646,-0.122956,1.631000
0.485543,-0.119366,1.633000
0.486838,-0.113969,1.636000
0.487668,-0.110364,1.638000
0.488471,-0.106752,1.640000
0.489626,-0.101323,1.643000
0.490362,-0.097697,1.645000
0.491417,-0.092248,1.648000
0.492410,-0.086788,1.651000
0.493343,-0.081317,1.654000
0.494215,-0.075836,1.657000
0.494763,-0.072176,1.659000
0.495284,-0.068513,1.661000
0.496014,-0.063011,1.664000
0.496683,-0.057502,1.667000
0.497094,-0.053825,1.669000
0.499315,-0.026167,1.684000
0.499647,-0.018775,1.688000
0.499825,-0.013228,1.691000
0.499909,-0.009528,1.693000
0.500000,-0.000279,1.698000
0.499972,0.005271,1.701000
0.499435,0.023762,1.711000
0.499246,0.027458,1.713000
0.498910,0.032997,1.716000
0.498652,0.036689,1.718000
0.498214,0.042221,1.721000
0.497715,0.047749,1.724000
0.497348,0.051431,1.726000
0.496954,0.055110,1.728000
0.496311,0.060622,1.731000
0.495608,0.066128,1.734000
0.495105,0.069793,1.736000
0.494575,0.073455,1.738000
0.493729,0.078941,1.741000
0.493131,0.082592,1.743000
0.492507,0.086239,1.745000
0.491519,0.091701,1.748000
0.490827,0.095335,1.750000
0.489739,0.100778,1.753000
0.488590,0.106207,1.756000
0.487790,0.109820,1.758000
0.486541,0.115228,1.761000
0.485232,0.120621,1.764000
0.483864,0.126000,1.767000
0.482435,0.131363,1.770000
